52,3,6,3,,,
 ,,,,,,
nan,100,68,70,80,79.5,
100,nan,68,70,80,79.5,
68,68,nan,97,78,77.75,
70,70,97,nan,80,79.25,
80,80,78,80,nan,79.5,79.1
80,2,2,2,,,
 ,,,,,,
nan,90,90,53,53,71.5,
90,nan,100,52,52,73.5,
90,100,nan,52,52,73.5,
53,52,52,nan,100,64.25,
53,52,52,100,nan,64.25,69.4
67,7,3,4,,,
 ,,,,,,
nan,72,59,57,71,64.75,
72,nan,85,84,98,84.75,
59,85,nan,98,84,81.5,
57,84,98,nan,85,81,
71,98,84,85,nan,84.5,79.3
29,8,7,3,,,
 ,,,,,,
41,6,3,3,,,
 ,,,,,,
34,2,5,4,,,
 ,,,,,,
nan,86,58,56,38,59.5,
86,nan,45,45,30,51.5,
58,45,nan,46,52,50.25,
56,45,46,nan,32,44.75,
38,30,52,32,nan,38,48.8
54,7,8,2,,,
 ,,,,,,
nan,94,92,100,92,94.5,
94,nan,86,94,86,90,
92,86,nan,92,100,92.5,
100,94,92,nan,92,94.5,
92,86,100,92,nan,92.5,92.8
56,6,3,4,,,
 ,,,,,,
nan,57,70,64,85,69,
57,nan,84,77,68,71.5,
70,84,nan,75,83,78,
64,77,75,nan,76,73,
85,68,83,76,nan,78,73.9
78,2,7,3,,,
 ,,,,,,
nan,68,74,34,87,65.75,
68,nan,61,39,80,62,
74,61,nan,55,74,66,
34,39,55,nan,33,40.25,
87,80,74,33,nan,68.5,60.5
77,7,4,3,,,
 ,,,,,,
nan,93,64,93,90,85,
93,nan,65,100,85,85.75,
64,65,nan,65,58,63,
93,100,65,nan,85,85.75,
90,85,58,85,nan,79.5,79.8
56,2,8,3,,,
 ,,,,,,
nan,70,46,74,95,71.25,
70,nan,64,94,69,74.25,
46,64,nan,66,42,54.5,
74,94,66,nan,69,75.75,
95,69,42,69,nan,68.75,68.9
45,5,4,4,,,
 ,,,,,,
nan,77,81,56,49,65.75,
77,nan,80,59,50,66.5,
81,80,nan,60,46,66.75,
56,59,60,nan,60,58.75,
49,50,46,60,nan,51.25,61.8
80,4,5,4,,,
 ,,,,,,
nan,94,61,90,85,82.5,
94,nan,66,95,90,86.25,
61,66,nan,66,77,67.5,
90,95,66,nan,90,85.25,
85,90,77,90,nan,85.5,81.4
70,2,4,4,,,
 ,,,,,,
nan,60,73,72,71,69,
60,nan,66,57,66,62.25,
73,66,nan,52,53,61,
72,57,52,nan,78,64.75,
71,66,53,78,nan,67,64.8
35,8,3,2,,,
 ,,,,,,
nan,87,73,80,82,80.5,
87,nan,85,78,81,82.75,
73,85,nan,65,68,72.75,
80,78,65,nan,96,79.75,
82,81,68,96,nan,81.75,79.5
75,2,7,4,,,
 ,,,,,,
nan,75,82,94,81,83,
75,nan,73,79,78,76.25,
82,73,nan,81,80,79,
94,79,81,nan,80,83.5,
81,78,80,80,nan,79.75,80.3
39,7,7,3,,,
 ,,,,,,
nan,20,9,41,18,22,
20,nan,71,40,72,50.75,
9,71,nan,32,72,46,
41,40,32,nan,29,35.5,
18,72,72,29,nan,47.75,40.4
61,2,2,3,,,
 ,,,,,,
nan,6,3,1,5,3.75,
6,nan,38,32,38,28.5,
3,38,nan,21,92,38.5,
1,32,21,nan,23,19.25,
5,38,92,23,nan,39.5,25.9
53,2,2,3,,,
 ,,,,,,
nan,29,33,33,10,26.25,
29,nan,86,93,42,62.5,
33,86,nan,92,46,64.25,
33,93,92,nan,41,64.75,
10,42,46,41,nan,34.75,50.5
68,5,2,3,,,
 ,,,,,,
nan,89,54,69,42,63.5,
89,nan,63,79,42,68.25,
54,63,nan,80,62,64.75,
69,79,80,nan,51,69.75,
42,42,62,51,nan,49.25,63.1
55,7,4,4,,,
