39,7,5,4,,,
 ,,,,,,
nan,98,98,81,91,92,
98,nan,96,80,90,91,
98,96,nan,79,90,90.75,
81,80,79,nan,87,81.75,
91,90,90,87,nan,89.5,89
52,3,8,2,,,
 ,,,,,,
nan,50,63,56,84,63.25,
50,nan,28,28,46,38,
63,28,nan,92,62,61.25,
56,28,92,nan,68,61,
84,46,62,68,nan,65,57.7
77,6,3,4,,,
 ,,,,,,
64,7,2,3,,,
 ,,,,,,
nan,75,71,75,71,73,
75,nan,95,100,95,91.25,
71,95,nan,95,100,90.25,
75,100,95,nan,95,91.25,
71,95,100,95,nan,90.25,87.2
55,8,5,4,,,
 ,,,,,,
nan,83,53,100,77,78.25,
83,nan,55,83,91,78,
53,55,nan,53,52,53.25,
100,83,53,nan,77,78.25,
77,91,52,77,nan,74.25,72.4
42,7,3,2,,,
 ,,,,,,
51,4,6,4,,,
 ,,,,,,
nan,75,79,79,72,76.25,
75,nan,70,70,84,74.75,
79,70,nan,100,78,81.75,
79,70,100,nan,78,81.75,
72,84,78,78,nan,78,78.5
62,2,5,3,,,
 ,,,,,,
nan,91,43,44,91,67.25,
91,nan,39,49,100,69.75,
43,39,nan,31,39,38,
44,49,31,nan,49,43.25,
91,100,39,49,nan,69.75,57.6
60,6,5,3,,,
 ,,,,,,
nan,47,20,28,36,32.75,
47,nan,62,72,59,60,
20,62,nan,86,48,54,
28,72,86,nan,48,58.5,
36,59,48,48,nan,47.75,50.6
70,7,7,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
58,4,6,2,,,
 ,,,,,,
nan,91,84,100,84,89.75,
91,nan,91,91,91,91,
84,91,nan,84,100,89.75,
100,91,84,nan,84,89.75,
84,91,100,84,nan,89.75,90
51,6,7,2,,,
 ,,,,,,
nan,32,32,32,83,44.75,
32,nan,100,100,37,67.25,
32,100,nan,100,37,67.25,
32,100,100,nan,37,67.25,
