Ev,Wlen,N. Letters,N. Coeff
90,129,3,2
91,135,2,4
95,135,2,4
99,128,2,3
100,133,2,4
105,129,2,4
106,134,2,5
114,130,2,3
120,130,3,2
122,132,2,5
124,133,3,2
124,134,2,2
128,130,3,2
128,134,4,2
132,126,3,2
134,132,3,3
135,126,5,2
135,126,3,3
137,133,2,4
137,134,3,2
139,126,6,3
139,129,6,2
140,125,3,3
141,125,7,2
141,127,6,2
141,131,3,2
141,135,2,3
143,127,2,3
144,135,2,4
145,128,5,2
145,131,6,2
146,131,5,3
147,132,3,3
147,134,5,2
149,126,7,2
149,127,6,3
149,133,3,3
150,126,6,2
150,131,4,2
151,127,7,2
151,132,5,2
152,127,4,3
152,129,5,3
153,126,5,2
153,129,5,3
155,130,6,2
155,130,6,3
155,130,6,3
156,127,5,2
157,126,3,3
157,127,4,3
157,128,4,2
157,132,4,3
158,128,5,3
161,125,4,3
161,131,2,4
161,134,5,2
161,135,5,3
163,133,5,2
164,133,2,2
165,129,7,2
168,127,5,2
168,135,5,2
170,130,6,3
171,134,5,3
172,130,2,6
172,132,3,3
172,134,3,3
173,131,4,4
173,134,5,3
175,125,5,3
175,127,6,2
175,127,2,6
175,128,6,3
175,129,2,2
175,129,3,4
175,130,6,2
177,135,2,2
178,127,2,3
178,131,2,5
179,127,3,4
179,133,6,3
179,133,6,3
179,135,6,2
180,130,2,7
180,131,3,4
181,132,7,2
181,134,2,6
182,127,5,3
182,128,4,3
182,135,3,3
183,127,5,3
183,129,4,3
183,129,2,6
183,130,2,7
184,129,7,2
184,131,2,3
185,129,2,3
185,130,7,2
185,130,2,7
186,132,2,7
188,128,2,2
188,129,2,6
188,130,7,2
189,131,2,5
190,127,3,2
190,133,3,4
190,135,2,7
191,131,2,5
191,133,2,6
194,132,2,6
196,130,4,5
196,133,3,3
197,133,2,7
198,127,2,7
198,128,4,5
198,132,7,3
199,133,3,4
201,134,6,3
202,127,3,5
202,128,6,2
203,125,5,3
204,125,2,7
204,129,2,2
204,131,3,4
204,132,4,4
205,128,6,4
206,130,3,4
207,127,2,7
208,130,3,5
208,131,3,4
208,132,4,5
210,129,4,4
210,132,3,5
213,127,4,4
213,129,6,2
214,127,2,2
214,129,4,4
214,133,4,5
215,128,3,5
216,128,3,5
217,125,3,5
217,125,3,5
217,125,4,5
217,128,6,4
217,129,3,4
217,131,4,4
218,125,2,6
218,132,2,7
219,125,6,3
219,126,2,4
220,125,2,4
220,127,4,4
221,127,6,4
225,130,4,4
226,128,3,5
229,132,3,6
230,133,6,4
232,127,6,4
232,128,5,4
232,133,6,4
233,128,3,6
237,126,6,4
239,130,6,4
241,129,7,3
241,134,7,3
241,134,7,3
242,125,3,6
242,125,4,6
242,127,2,5
242,131,6,4
242,133,3,5
243,125,5,4
244,133,2,5
245,125,4,6
245,129,5,4
246,125,3,7
246,135,4,5
247,125,3,6
248,133,3,5
248,135,6,4
249,128,2,4
250,133,7,3
251,127,5,5
251,127,3,6
255,129,2,5
256,128,5,5
256,131,2,3
256,135,4,6
258,130,5,4
258,135,3,6
258,135,3,6
259,126,3,7
260,125,7,3
260,126,5,5
260,134,7,4
260,135,6,4
262,128,5,5
264,134,3,7
265,134,5,4
265,134,3,7
266,125,6,4
266,131,7,4
266,132,4,6
268,131,5,5
269,134,3,7
270,134,3,7
271,134,5,4
272,135,7,4
273,132,6,3
273,133,5,4
274,126,7,3
274,132,4,6
275,126,5,4
275,127,7,4
276,125,5,5
276,127,5,4
276,127,5,4
282,135,5,4
283,129,6,5
283,135,7,3
285,132,4,6
287,133,7,3
288,135,3,7
291,128,7,4
291,133,3,7
291,135,6,5
292,127,7,5
294,127,6,5
294,134,6,5
295,134,4,6
296,134,4,6
296,135,5,4
298,126,4,7
300,127,6,5
300,127,3,7
300,127,3,7
301,130,7,4
302,131,6,6
303,126,4,7
304,134,6,6
305,126,4,7
305,129,3,7
306,128,3,7
307,133,4,6
308,130,7,5
310,125,6,6
311,128,6,6
312,127,7,5
312,130,6,6
316,127,7,5
316,133,5,6
317,132,5,5
319,127,6,6
320,131,5,6
321,132,3,7
324,125,4,7
328,125,5,6
329,128,5,6
330,125,5,6
334,129,6,6
335,128,6,6
336,127,5,7
337,129,5,6
337,129,5,6
338,126,5,6
339,125,6,5
339,125,6,5
341,125,6,5
341,128,6,6
342,135,4,7
345,127,5,6
345,127,5,6
345,132,5,6
349,127,4,6
349,130,6,5
349,133,6,6
350,129,5,7
354,130,5,6
355,128,5,7
356,128,7,6
357,128,7,5
358,129,7,6
359,129,5,6
359,134,5,7
362,129,7,6
362,130,5,6
363,127,6,6
363,130,4,6
364,128,5,7
364,129,7,6
364,129,7,6
365,129,7,6
365,130,4,6
365,135,6,6
366,128,5,7
367,126,5,7
368,131,4,7
371,131,5,7
376,130,4,6
376,130,7,6
376,133,4,7
377,133,6,5
378,132,7,5
386,126,6,7
387,126,5,7
387,131,6,7
389,134,6,7
391,130,5,7
392,131,7,6
397,128,6,7
397,128,6,7
415,130,5,6
423,134,7,7
424,133,7,7
426,129,7,7
426,132,7,7
427,129,7,7
434,125,7,7
434,125,7,7
436,125,7,7
