128,4,2,3,,,,,,
 ,,,,,,,,,
nan,75,80,93,80,82,,,,
75,nan,92,79,92,84.5,,,,
80,92,nan,85,100,89.25,,,,
93,79,85,nan,85,85.5,,,,
80,92,100,85,nan,89.25,86.1,,,
128,4,2,3,,,,,,
 ,,,,,,,,,
nan,92,87,85,97,90.25,,,,
92,nan,94,79,90,88.75,,,,
87,94,nan,74,84,84.75,,,,
85,79,74,nan,82,80,,,,
97,90,84,82,nan,88.252,86.40008,4,2,3
 ,,,,,,,,,
nan,78,72,97,67,78.5,,,,
78,nan,72,76,79,76.25,,,,
72,72,nan,69,62,68.75,,,,
97,76,69,nan,64,76.5,,,,
67,79,62,64,nan,68,73.6,,,
300,4,2,3,,,,,,
 ,,,,,,,,,
nan,70,70,70,69,69.75,,,,
70,nan,100,100,79,87.25,,,,
70,100,nan,100,79,87.25,,,,
70,100,100,nan,79,87.25,,,,
69,79,79,79,nan,76.5,81.6,,,
296,8,3,4,,,,,,
 ,,,,,,,,,
246,6,6,4,,,,,,
 ,,,,,,,,,
nan,63,100,68,81,78,,,,
63,nan,63,87,74,71.75,,,,
100,63,nan,68,81,78,,,,
68,87,68,nan,86,77.25,,,,
81,74,81,86,nan,80.5,77.1,,,
335,7,3,3,,,,,,
 ,,,,,,,,,
nan,27,88,100,27,60.5,,,,
27,nan,32,27,100,46.5,,,,
88,32,nan,88,32,60,,,,
100,27,88,nan,27,60.5,,,,
27,100,32,27,nan,46.5,54.8,,,
294,3,5,2,,,,,,
 ,,,,,,,,,
nan,100,100,100,93,98.25,,,,
100,nan,100,100,93,98.25,,,,
100,100,nan,100,93,98.25,,,,
100,100,100,nan,93,98.25,,,,
93,93,93,93,nan,93,97.2,,,
472,3,7,2,,,,,,
 ,,,,,,,,,
nan,66,72,100,72,77.5,,,,
66,nan,92,66,92,79,,,,
72,92,nan,72,100,84,,,,
100,66,72,nan,72,77.5,,,,
72,92,100,72,nan,84,80.4,,,
215,5,6,2,,,,,,
 ,,,,,,,,,
nan,100,100,100,100,100,,,,
100,nan,100,100,100,100,,,,
100,100,nan,100,100,100,,,,
100,100,100,nan,100,100,,,,
100,100,100,100,nan,100,100,,,
388,3,7,2,,,,,,
 ,,,,,,,,,
nan,92,92,100,100,96,,,,
92,nan,100,92,92,94,,,,
92,100,nan,92,92,94,,,,
100,92,92,nan,100,96,,,,
100,92,92,100,nan,96,95.2,,,
257,2,5,4,,,,,,
 ,,,,,,,,,
nan,85,70,75,74,76,,,,
85,nan,66,88,87,81.5,,,,
70,66,nan,63,64,65.75,,,,
75,88,63,nan,98,81,,,,
74,87,64,98,nan,80.75,77,,,
395,6,3,4,,,,,,
 ,,,,,,,,,
nan,85,84,48,83,75,,,,
85,nan,99,62,95,85.25,,,,
84,99,nan,62,95,85,,,,
48,62,62,nan,57,57.25,,,,
83,95,95,57,nan,82.5,77,,,
334,4,4,2,,,,,,
 ,,,,,,,,,
nan,92,54,52,30,57,,,,
92,nan,48,46,24,52.5,,,,
54,48,nan,94,71,66.75,,,,
52,46,94,nan,66,64.5,,,,
30,24,71,66,nan,47.75,57.7,,,
324,6,7,2,,,,,,
