127,3,7,,,,,
 ,,,,,,,
nan,nan,,,,,,
134,4,5,,,,,
 ,,,,,,,
nan,31,26,30,32,29.75,,
31,nan,54,95,86,66.5,,
26,54,nan,58,48,46.5,,
30,95,58,nan,86,67.25,,
32,86,48,86,nan,63,54.6,
131,6,3,,,,,
 ,,,,,,,
nan,42,39,34,42,39.25,,
42,nan,90,90,100,80.5,,
39,90,nan,81,90,75,,
34,90,81,nan,90,73.75,,
42,100,90,90,nan,80.5,69.8,
127,4,2,,,,,
 ,,,,,,,
nan,92,85,56,94,81.75,,
92,nan,78,62,87,79.75,,
85,78,nan,53,90,76.5,,
56,62,53,nan,60,57.75,,
94,87,90,60,nan,82.75,75.7,
130,3,7,,,,,
 ,,,,,,,
nan,24,27,29,27,26.75,,
24,nan,54,57,77,53,,
27,54,nan,85,43,52.25,,
29,57,85,nan,47,54.5,,
27,77,43,47,nan,48.5,47,
132,7,4,,,,,
 ,,,,,,,
nan,97,97,83,50,81.75,,
97,nan,100,85,48,82.5,,
97,100,nan,85,48,82.5,,
83,85,85,nan,43,74,,
50,48,48,43,nan,47.25,73.6,
135,3,3,,,,,
 ,,,,,,,
nan,14,63,47,50,43.5,,
14,nan,22,18,19,18.25,,
63,22,nan,36,35,39,,
47,18,36,nan,92,48.25,,
50,19,35,92,nan,49,39.6,
133,5,3,,,,,
 ,,,,,,,
nan,96,96,96,62,87.5,,
96,nan,100,100,64,90,,
96,100,nan,100,64,90,,
96,100,100,nan,64,90,,
62,64,64,64,nan,63.5,84.2,
127,5,4,,,,,
 ,,,,,,,
nan,58,86,58,58,65,,
58,nan,54,100,100,78,,
86,54,nan,54,54,62,,
58,100,54,nan,100,78,,
58,100,54,100,nan,78,72.2,
125,7,3,,,,,
 ,,,,,,,
nan,70,70,100,70,77.5,,
70,nan,100,70,100,85,,
70,100,nan,70,100,85,,
100,70,70,nan,70,77.5,,
70,100,100,70,nan,85,82,
126,5,7,,,,,
 ,,,,,,,
nan,86,52,47,48,58.25,,
86,nan,43,48,49,56.5,,
52,43,nan,69,39,50.75,,
47,48,69,nan,61,56.25,,
48,49,39,61,nan,49.25,54.2,
128,7,2,,,,,
 ,,,,,,,
nan,93,54,54,61,65.5,,
93,nan,57,57,63,67.5,,
54,57,nan,100,85,74,,
54,57,100,nan,85,74,,
61,63,85,85,nan,73.5,70.9,
127,6,5,,,,,
 ,,,,,,,
nan,38,45,30,43,39,,
38,nan,39,61,35,43.25,,
45,39,nan,57,27,42,,
30,61,57,nan,62,52.5,,
43,35,27,62,nan,41.75,43.7,
126,4,5,,,,,
 ,,,,,,,
nan,63,32,15,21,32.75,,
