126,5,6,,,,,
nan,97,53,98,94,70,82.4,
97,nan,55,95,92,72,82.2,
53,55,nan,51,53,73,57,
98,95,51,nan,96,69,81.8,
94,92,53,96,nan,67,80.4,
70,72,73,69,67,nan,70.2,
 ,,,,,,,
135,6,6,,,,,
nan,85,66,81,99,80,82.2,
85,nan,58,90,85,89,81.4,
66,58,nan,55,66,53,59.6,
81,90,55,nan,81,97,80.8,
99,85,66,81,nan,80,82.2,
80,89,53,97,80,nan,79.8,
 ,,,,,,,
127,6,3,,,,,
nan,69,66,55,70,54,62.8,
69,nan,85,72,94,63,76.6,
66,85,nan,75,81,74,76.2,
55,72,75,nan,69,71,68.4,
70,94,81,69,nan,62,75.2,
54,63,74,71,62,nan,64.8,
 ,,,,,,,
132,2,6,,,,,
nan,83,93,90,79,78,84.6,
83,nan,85,90,73,85,83.2,
93,85,nan,90,79,79,85.2,
90,90,90,nan,79,81,86,
79,73,79,79,nan,82,78.4,
78,85,79,81,82,nan,81,
 ,,,,,,,
131,4,4,,,,,
nan,75,77,90,89,82,82.6,
75,nan,93,73,72,88,80.2,
77,93,nan,75,76,87,81.6,
90,73,75,nan,96,75,81.8,
89,72,76,96,nan,75,81.6,
82,88,87,75,75,nan,81.4,
 ,,,,,,,
125,6,7,,,,,
nan,94,97,97,96,91,95,
94,nan,96,96,96,96,95.6,
97,96,nan,99,99,94,97,
97,96,99,nan,99,94,97,
96,96,99,99,nan,94,96.8,
91,96,94,94,94,nan,93.8,95.86666667
 ,,,,,,,
135,6,7,,,,,
nan,96,94,96,96,96,95.6,
96,nan,91,94,94,94,93.8,
94,91,nan,92,92,96,93,
96,94,92,nan,94,94,94,
96,94,92,94,nan,94,94,
96,94,96,94,94,nan,94.8,94.2
 ,,,,,,,
132,2,7,,,,,
nan,73,75,78,68,69,72.6,
73,nan,71,84,69,78,75,
75,71,nan,74,84,68,74.4,
78,84,74,nan,77,84,79.4,
68,69,84,77,nan,74,74.4,
69,78,68,84,74,nan,74.6,
 ,,,,,,,
128,4,3,,,,,
nan,83,81,83,93,86,85.2,
83,nan,92,91,85,92,88.6,
81,92,nan,91,84,90,87.6,
83,91,91,nan,86,92,88.6,
93,85,84,86,nan,88,87.2,
86,92,90,92,88,nan,89.6,
 ,,,,,,,
129,5,2,,,,,
nan,49,82,63,34,56,56.8,
49,nan,47,52,40,58,49.2,
82,47,nan,64,33,60,57.2,
63,52,64,nan,37,58,54.8,
34,40,33,37,nan,35,35.8,
56,58,60,58,35,nan,53.4,
 ,,,,,,,
134,6,3,,,,,
nan,59,56,93,90,69,73.4,
59,nan,84,57,62,66,65.6,
56,84,nan,55,60,72,65.4,
93,57,55,nan,86,69,72,
90,62,60,86,nan,72,74,
69,66,72,69,72,nan,69.6,
 ,,,,,,,
134,6,4,,,,,
nan,98,96,97,96,98,97,
98,nan,98,99,98,99,98.4,
96,98,nan,98,99,98,97.8,
97,99,98,nan,98,99,98.2,
96,98,99,98,nan,98,97.8,
98,99,98,99,98,nan,98.4,97.93333333
 ,,,,,,,
134,4,3,,,,,
nan,87,86,79,84,84,84,
87,nan,84,81,83,86,84.2,
86,84,nan,89,90,86,87,
79,81,89,nan,81,82,82.4,
84,83,90,81,nan,96,86.8,
84,86,86,82,96,nan,86.8,
 ,,,,,,,
131,6,7,,,,,
nan,95,94,93,96,86,92.8,
95,nan,99,94,97,89,94.8,
94,99,nan,94,97,89,94.6,
93,94,94,nan,93,85,91.8,
96,97,97,93,nan,89,94.4,
86,89,89,85,89,nan,87.6,92.66666667
 ,,,,,,,
126,7,5,,,,,
nan,74,97,77,81,94,84.6,
74,nan,75,94,84,77,80.8,
97,75,nan,78,84,97,86.2,
77,94,78,nan,88,81,83.6,
