126,3,4,,,,,,,,,
 ,,,,,,,,,,,
nan,1,1,1,100,25.75,,,,,,
1,nan,100,100,1,50.5,,,,,,
1,100,nan,100,1,50.5,,,,,,
1,100,100,nan,1,50.5,,,,,,
100,1,1,1,nan,25.75,40.6,,,,,
132,3,7,,,,,,,,,
 ,,,,,,,,,,,
nan,29,100,100,100,82.25,,,,,,
29,nan,29,29,29,29,,,,,,
100,29,nan,100,100,82.25,,,,,,
100,29,100,nan,100,82.25,,,,,,
100,29,100,100,nan,82.25,71.6,,,,,
,,,,,,,,,,,
 ,,,,,132,4,2,,,,
nan,100,26,26,26,44.5,,,,,,
100,nan,26,26,26,44.5,,,,,,
26,26,nan,100,100,63,,,,,,
26,26,100,nan,100,63,,,,,,
26,26,100,100,nan,63,55.6,,,,,
 ,,,,,,,,,,,
125,4,7,,,,,,,,,
nan,100,nan,100,100,100,,,,,,
100,nan,nan,100,100,100,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,
100,100,nan,nan,100,100,,,,,,
100,100,nan,100,nan,100,100,,,,,
 ,,,,,,,,,,,
132,2,6,,,,,,,,,
nan,100,100,97,97,98.5,,,,,,
100,nan,100,97,97,98.5,,,,,,
100,100,nan,97,97,98.5,,,,,,
97,97,97,nan,100,97.75,,,,,,
97,97,97,100,nan,97.75,98.2,,,,,
 ,,,,,,,,,,,
129,3,5,,,,,,,,,
nan,68,68,68,68,68,68,,,,,
68,nan,100,100,100,100,93.6,,,,,
68,100,nan,100,100,100,93.6,,,,,
68,100,100,nan,100,100,93.6,,,,,
68,100,100,100,nan,100,93.6,89.33333333,,,,
68,100,100,100,100,nan,93.6,,,,,
 ,,,,,,,,,,,
129,3,7,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,100,,,,
 ,,,,,,,,,,,
135,4,4,,,,,,,,,
nan,95,95,2,100,27,63.8,,,,,
95,nan,100,1,95,27,63.6,,,,,
95,100,nan,1,95,27,63.6,,,,,
2,1,1,nan,2,8,2.8,,,,,
100,95,95,2,nan,27,63.8,,,,,
27,27,27,8,27,nan,23.2,43.4,,,,
 ,,,,,,,,,,,
129,6,2,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,100,,,,
 ,,,,,,,,,,,
126,3,7,,,,,,,,,
nan,nan,nan,nan,nan,nan,nan,,,,,
nan,nan,100,100,100,100,100,,,,,
nan,100,nan,100,100,100,100,,,,,
nan,100,100,nan,100,100,100,,,,,
nan,100,100,100,nan,100,100,,,,,
nan,100,100,100,100,nan,100,,,,,
 ,,,,,,,,,,,
128,6,5,,,,,,,,,
nan,79,79,-1,79,79,63,,,,,
79,nan,100,1,100,100,76,,,,,
79,100,nan,1,100,100,76,,,,,
-1,1,1,nan,1,1,0.6,,,,,
79,100,100,1,nan,100,76,,,,,
79,100,100,1,100,nan,76,,,,,
 ,,,,,,,,,,,
130,4,7,,,,,,,,,
nan,34,86,93,100,69,76.4,,,,,
34,nan,42,38,34,26,34.8,,,,,
86,42,nan,92,86,82,77.6,,,,,
93,38,92,nan,93,75,78.2,,,,,
100,34,86,93,nan,69,76.4,,,,,
69,26,82,75,69,nan,64.2,,,,,
 ,,,,,,,,,,,
126,4,6,,,,,,,,,
nan,100,100,100,100,7,81.4,,,,,
100,nan,100,100,100,7,81.4,,,,,
100,100,nan,100,100,7,81.4,,,,,
100,100,100,nan,100,7,81.4,,,,,
100,100,100,100,nan,7,81.4,,,,,
7,7,7,7,7,nan,7,,,,,
 ,,,,,,,,,,,
129,4,3,,,,,,,,,
nan,100,100,100,100,100,100,,,,,
100,nan,100,100,100,100,100,,,,,
100,100,nan,100,100,100,100,,,,,
100,100,100,nan,100,100,100,,,,,
100,100,100,100,nan,100,100,,,,,
100,100,100,100,100,nan,100,,,,,
 ,,,,,,,,,,,
126,7,7,,,,,,,,,
nan,74,31,38,33,28,40.8,,,,,
74,nan,47,33,50,43,49.4,,,,,
31,47,nan,72,81,93,64.8,,,,,
38,33,72,nan,91,81,63,,,,,
33,50,81,91,nan,89,68.8,,,,,
28,43,93,81,89,nan,66.8,,,,,
 ,,,,,,,,,,,
132,6,7,,,,,,,,,
nan,84,16,75,26,91,58.4,,,,,
84,nan,8,61,31,75,51.8,,,,,
16,8,nan,43,10,18,19,,,,,
75,61,43,nan,24,72,55,,,,,
26,31,10,24,nan,29,24,,,,,
91,75,18,72,29,nan,57,,,,,
 ,,,,,,,,,,,
131,7,5,,,,,,,,,
nan,93,100,100,32,86,82.2,,,,,
93,nan,93,93,34,92,81,,,,,
