130,6,7,3,,,
 ,,,,,,
nan,96,88,54,59,74.25,
96,nan,84,50,55,71.25,
88,84,nan,57,64,73.25,
54,50,57,nan,92,63.25,
59,55,64,92,nan,67.5,69.9
132,2,3,4,,,
 ,,,,,,
nan,60,58,55,45,54.5,
60,nan,82,87,69,74.5,
58,82,nan,77,63,70,
55,87,77,nan,76,73.75,
45,69,63,76,nan,63.25,67.2
130,8,5,4,,,
 ,,,,,,
nan,66,28,25,27,36.5,
66,nan,31,27,23,36.75,
28,31,nan,80,68,51.75,
25,27,80,nan,85,54.25,
27,23,68,85,nan,50.75,46
136,2,2,3,,,
 ,,,,,,
nan,72,67,32,28,49.75,
72,nan,94,47,33,61.5,
67,94,nan,52,36,62.25,
32,47,52,nan,27,39.5,
28,33,36,27,nan,31,48.8
125,2,5,4,,,
 ,,,,,,
nan,29,51,35,35,37.5,
29,nan,38,40,40,36.75,
51,38,nan,50,50,47.25,
35,40,50,nan,100,56.25,
35,40,50,100,nan,56.25,46.8
134,4,3,2,,,
 ,,,,,,
nan,93,30,87,86,74,
93,nan,35,93,85,76.5,
30,35,nan,40,40,36.25,
87,93,40,nan,92,78,
86,85,40,92,nan,75.75,68.1
139,7,8,3,,,
 ,,,,,,
nan,100,92,21,21,58.5,
100,nan,92,21,21,58.5,
92,92,nan,20,22,56.5,
21,21,20,nan,66,32,
21,21,22,66,nan,32.5,47.6
134,3,7,3,,,
 ,,,,,,
nan,36,32,73,64,51.25,
36,nan,96,48,58,59.5,
32,96,nan,51,61,60,
73,48,51,nan,86,64.5,
64,58,61,86,nan,67.25,60.5
136,6,8,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
139,8,2,4,,,
 ,,,,,,
nan,96,72,94,45,76.75,
96,nan,69,92,43,75,
72,69,nan,68,49,64.5,
94,92,68,nan,45,74.75,
45,43,49,45,nan,45.5,67.3
131,7,5,3,,,
 ,,,,,,
nan,81,53,20,32,46.5,
81,nan,65,21,40,51.75,
53,65,nan,31,28,44.25,
20,21,31,nan,71,35.75,
32,40,28,71,nan,42.75,44.2
138,6,3,3,,,
 ,,,,,,
nan,13,16,14,21,16,
13,nan,66,77,60,54,
16,66,nan,75,77,58.5,
14,77,75,nan,72,59.5,
21,60,77,72,nan,57.5,49.1
137,4,6,3,,,
 ,,,,,,
nan,93,85,55,44,69.25,
93,nan,91,61,49,73.5,
85,91,nan,68,56,75,
55,61,68,nan,85,67.25,
44,49,56,85,nan,58.5,68.7
137,3,2,3,,,
 ,,,,,,
nan,29,71,71,74,61.25,
29,nan,25,25,22,25.25,
71,25,nan,100,93,72.25,
71,25,100,nan,93,72.25,
74,22,93,93,nan,70.5,60.3
136,7,6,3,,,
 ,,,,,,
nan,85,22,22,23,38,
85,nan,22,23,23,38.25,
22,22,nan,99,76,54.75,
22,23,99,nan,75,54.75,
23,23,76,75,nan,49.25,47
125,4,4,3,,,
 ,,,,,,
nan,36,44,38,40,39.5,
36,nan,55,54,49,48.5,
44,55,nan,35,35,42.25,
38,54,35,nan,92,54.75,
40,49,35,92,nan,54,47.8
135,7,2,3,,,
 ,,,,,,
nan,54,100,87,93,83.5,
54,nan,54,55,55,54.5,
100,54,nan,87,93,83.5,
87,55,87,nan,93,80.5,
93,55,93,93,nan,83.5,77.1
133,4,8,4,,,
 ,,,,,,
nan,64,42,50,46,50.5,
64,nan,59,73,72,67,
42,59,nan,70,66,59.25,
50,73,70,nan,94,71.75,
46,72,66,94,nan,69.5,63.6
132,4,8,2,,,
 ,,,,,,
nan,76,100,26,91,73.25,
76,nan,76,27,83,65.5,
100,76,nan,26,91,73.25,
26,27,26,nan,26,26.25,
91,83,91,26,nan,72.75,62.2
133,6,2,3,,,
 ,,,,,,
nan,45,48,60,91,61,
45,nan,89,76,43,63.25,
48,89,nan,86,47,67.5,
60,76,86,nan,59,70.25,
91,43,47,59,nan,60,64.4
130,7,3,4,,,
 ,,,,,,
