127,5,6,4,,,,,
 ,,,,,,,,
139,3,4,2,,,,,
 ,,,,,,,,
nan,100,100,70,100,92.5,,,
100,nan,100,70,100,92.5,,,
100,100,nan,70,100,92.5,,,
70,70,70,nan,70,70,,,
100,100,100,70,nan,92.5,,88,
127,2,6,3,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
140,8,7,3,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
125,4,6,3,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
131,8,6,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
128,2,6,2,,,,,
 ,,,,,,,,
nan,98,90,100,90,94.5,,,
98,nan,88,98,88,93,,,
90,88,nan,90,100,92,,,
100,98,90,nan,90,94.5,,,
90,88,100,90,nan,92,,93.2,
138,8,2,4,,,,,
 ,,,,,,,,
nan,66,60,76,70,68,,,
66,nan,48,73,67,63.5,,,
60,48,nan,67,63,59.5,,,
76,73,67,nan,75,72.75,,,
70,67,63,75,nan,68.75,,66.5,
137,5,5,2,,,,,
 ,,,,,,,,
nan,82,82,82,82,82,,,
82,nan,100,100,100,95.5,,,
82,100,nan,100,100,95.5,,,
82,100,100,nan,100,95.5,,,
82,100,100,100,nan,95.5,,92.8,
138,3,8,2,,,,,
 ,,,,,,,,
nan,40,100,41,40,55.25,,,
40,nan,40,83,100,65.75,,,
100,40,nan,41,40,55.25,,,
41,83,41,nan,83,62,,,
40,100,40,83,nan,65.75,,60.8,
137,4,7,3,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
126,5,2,4,,,,,
 ,,,,,,,,
nan,31,80,24,24,39.75,,,
31,nan,27,70,87,53.75,,,
80,27,nan,27,27,40.25,,,
24,70,27,nan,67,47,,,
24,87,27,67,nan,51.25,,46.4,
126,6,5,4,,,,,
 ,,,,,,,,
129,8,8,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
130,8,6,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
129,3,3,3,,,,,
 ,,,,,,,,
nan,53,100,100,25,69.5,,,
53,nan,53,53,24,45.75,,,
100,53,nan,100,25,69.5,,,
100,53,100,nan,25,69.5,,,
25,24,25,25,nan,24.75,,55.8,
129,4,5,2,,,,,
 ,,,,,,,,
nan,100,100,99,100,99.75,,,
100,nan,100,99,100,99.75,,,
100,100,nan,99,100,99.75,,,
99,99,99,nan,99,99,,,
100,100,100,99,nan,99.75,,99.6,
126,5,8,2,,,,,
 ,,,,,,,,
nan,100,100,100,91,97.75,,,
100,nan,100,100,91,97.75,,,
100,100,nan,100,91,97.75,,,
100,100,100,nan,91,97.75,,,
91,91,91,91,nan,91,,96.4,
126,2,2,2,,,,,
 ,,,,,,,,
nan,70,34,37,79,55,,,
70,nan,36,26,73,51.25,,,
34,36,nan,79,42,47.75,,,
37,26,79,nan,37,44.75,,,
79,73,42,37,nan,57.75,,51.3,
128,6,2,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
134,3,4,3,,,,,
 ,,,,,,,,
nan,85,85,85,85,85,,,
85,nan,100,100,100,96.25,,,
85,100,nan,100,100,96.25,,,
85,100,100,nan,100,96.25,,,
85,100,100,100,nan,96.25,,94,
127,3,2,3,,,,,
 ,,,,,,,,
nan,82,77,83,83,81.25,,,
82,nan,64,99,99,86,,,
77,64,nan,64,64,67.25,,,
83,99,64,nan,100,86.5,,,
83,99,64,100,nan,86.5,,81.5,
135,7,4,4,,,,,
 ,,,,,,,,
nan,74,80,74,74,75.5,,,
74,nan,68,100,100,85.5,,,
80,68,nan,68,68,71,,,
74,100,68,nan,100,85.5,,,
74,100,68,100,nan,85.5,,80.6,
125,8,8,4,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
135,3,7,4,,,,,
 ,,,,,,,,
nan,62,67,66,67,65.5,,,
62,nan,76,77,76,72.75,,,
67,76,nan,99,100,85.5,,,
66,77,99,nan,99,85.25,,,
67,76,100,99,nan,85.5,,78.9,
138,6,6,3,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
139,2,8,3,,,,,
 ,,,,,,,,
nan,35,100,24,99,64.5,,,
35,nan,35,5,35,27.5,,,
100,35,nan,24,99,64.5,,,
24,5,24,nan,23,19,,,
99,35,99,23,nan,64,,47.9,
132,7,8,3,,,,,
 ,,,,,,,,
nan,93,93,93,93,93,,,
93,nan,99,99,100,97.75,,,
93,99,nan,100,99,97.75,,,
93,99,100,nan,99,97.75,,,
93,100,99,99,nan,97.75,,96.8,
135,8,2,3,,,,,
 ,,,,,,,,
nan,91,89,89,27,74,,,
91,nan,81,81,24,69.25,,,
89,81,nan,100,34,76,,,
89,81,100,nan,34,76,,,
27,24,34,34,nan,29.75,,65,
138,6,2,2,,,,,
 ,,,,,,,,
nan,15,7,17,15,13.5,,,
15,nan,64,51,100,57.5,,,
7,64,nan,27,64,40.5,,,
17,51,27,nan,51,36.5,,,
15,100,64,51,nan,57.5,,41.1,
137,8,6,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
131,7,8,3,,,,,
 ,,,,,,,,
nan,97,97,99,97,97.5,,,
97,nan,100,96,100,98.25,,,
97,100,nan,96,100,98.25,,,
99,96,96,nan,96,96.75,,,
97,100,100,96,nan,98.25,,97.8,
140,7,6,4,,,,,
 ,,,,,,,,
nan,92,99,98,98,96.75,,,
92,nan,92,91,91,91.5,,,
99,92,nan,99,99,97.25,,,
98,91,99,nan,100,97,,,
98,91,99,100,nan,97,,95.9,
136,4,6,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
133,3,2,3,,,,,
 ,,,,,,,,
nan,53,86,100,100,84.75,,,
53,nan,42,53,53,50.25,,,
86,42,nan,86,86,75,,,
100,53,86,nan,100,84.75,,,
100,53,86,100,nan,84.75,,75.9,
130,6,6,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
133,8,8,4,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
139,6,4,3,,,,,
 ,,,,,,,,
nan,100,91,99,99,97.25,,,
100,nan,91,99,99,97.25,,,
91,91,nan,91,91,91,,,
99,99,91,nan,98,96.75,,,
99,99,91,98,nan,96.75,,95.8,
125,2,7,3,,,,,
 ,,,,,,,,
nan,48,48,70,83,62.25,,,
48,nan,100,66,55,67.25,,,
48,100,nan,66,55,67.25,,,
70,66,66,nan,85,71.75,,,
83,55,55,85,nan,69.5,,67.6,
127,7,3,2,,,,,
 ,,,,,,,,
nan,81,100,81,100,90.5,,,
81,nan,81,100,81,85.75,,,
100,81,nan,81,100,90.5,,,
81,100,81,nan,81,85.75,,,
100,81,100,81,nan,90.5,,88.6,
137,5,8,2,,,,,
 ,,,,,,,,
nan,100,92,100,100,98,,,
100,nan,92,100,100,98,,,
92,92,nan,92,92,92,,,
100,100,92,nan,100,98,,,
100,100,92,100,nan,98,,96.8,
137,6,8,2,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
131,4,7,4,,,,,
 ,,,,,,,,
nan,100,100,100,100,100,,,
100,nan,100,100,100,100,,,
100,100,nan,100,100,100,,,
100,100,100,nan,100,100,,,
100,100,100,100,nan,100,,100,
131,7,3,3,,,,,
 ,,,,,,,,
nan,99,99,99,100,99.25,,,
99,nan,100,100,99,99.5,,,
99,100,nan,100,99,99.5,,,
99,100,100,nan,99,99.5,,,
100,99,99,99,nan,99.25,,99.4,
127,3,8,2,,,,,
 ,,,,,,,,
nan,74,74,90,82,80,,,
74,nan,100,81,91,86.5,,,
74,100,nan,81,91,86.5,,,
90,81,81,nan,73,81.25,,,
82,91,91,73,nan,84.25,,83.7,
135,2,7,3,,,,,
 ,,,,,,,,
nan,84,84,36,100,76,,,
84,nan,100,34,84,75.5,,,
84,100,nan,34,84,75.5,,,
36,34,34,nan,36,35,,,
100,84,84,36,nan,76,,67.6,
136,2,7,2,,,,,
 ,,,,,,,,
nan,98,84,83,98,90.75,,,
98,nan,86,84,100,92,,,
