126,3,8,2,,,
 ,,,,,,
nan,87,100,100,100,96.75,
87,nan,87,87,87,87,
100,87,nan,100,100,96.75,
100,87,100,nan,100,96.75,
100,87,100,100,nan,96.75,94.3125
135,5,3,3,,,
 ,,,,,,
nan,53,97,90,92,83,
53,nan,54,49,53,52.25,
97,54,nan,93,90,83.5,
90,49,93,nan,83,78.75,
92,53,90,83,nan,79.5,73.5
140,7,4,3,,,
 ,,,,,,
nan,83,97,91,91,90.5,
83,nan,85,92,92,88,
97,85,nan,93,93,92,
91,92,93,nan,100,94,
91,92,93,100,nan,94,92
137,4,5,3,,,
 ,,,,,,
nan,63,62,98,95,79.5,
63,nan,64,65,68,65,
62,64,nan,60,57,60.75,
98,65,60,nan,96,79.75,
95,68,57,96,nan,79,71.125
127,7,6,3,,,
 ,,,,,,
nan,100,73,100,73,86.5,
100,nan,73,100,73,86.5,
73,73,nan,73,100,79.75,
100,100,73,nan,73,86.5,
73,73,100,73,nan,79.75,83.125
134,7,5,4,,,
 ,,,,,,
nan,94,51,71,48,66,
94,nan,49,73,52,67,
51,49,nan,50,85,58.75,
71,73,50,nan,55,62.25,
48,52,85,55,nan,60,62
138,7,3,3,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
132,8,6,2,,,
 ,,,,,,
nan,85,85,85,86,85.25,
85,nan,100,100,98,95.75,
85,100,nan,100,98,95.75,
85,100,100,nan,98,95.75,
86,98,98,98,nan,95,95.5625
129,6,3,4,,,
 ,,,,,,
nan,71,100,87,81,84.75,
71,nan,71,60,82,71,
100,71,nan,87,81,84.75,
87,60,87,nan,70,76,
81,82,81,70,nan,78.5,77.5625
130,7,3,3,,,
 ,,,,,,
nan,93,81,87,100,90.25,
93,nan,87,93,93,91.5,
81,87,nan,94,81,85.75,
87,93,94,nan,87,90.25,
100,93,81,87,nan,90.25,89.4375
139,6,7,4,,,
 ,,,,,,
nan,97,96,99,97,97.25,
97,nan,99,97,100,98.25,
96,99,nan,97,99,97.75,
99,97,97,nan,97,97.5,
97,100,99,97,nan,98.25,97.9375
140,4,5,2,,,
 ,,,,,,
nan,29,31,69,34,40.75,
29,nan,56,35,81,50.25,
31,56,nan,29,69,46.25,
69,35,29,nan,26,39.75,
34,81,69,26,nan,52.5,47.1875
134,8,8,4,,,
 ,,,,,,
nan,93,87,93,93,91.5,
93,nan,93,99,100,96.25,
87,93,nan,93,93,91.5,
93,99,93,nan,99,96,
93,100,93,99,nan,96.25,95
137,7,2,4,,,
 ,,,,,,
nan,48,19,59,37,40.75,
48,nan,50,85,68,62.75,
19,50,nan,47,50,41.5,
59,85,47,nan,59,62.5,
37,68,50,59,nan,53.5,55.0625
139,4,8,2,,,
 ,,,,,,
nan,58,27,29,29,35.75,
58,nan,32,38,38,41.5,
27,32,nan,87,87,58.25,
29,38,87,nan,100,63.5,
29,38,87,100,nan,63.5,56.6875
125,4,8,2,,,
 ,,,,,,
