130,7,7,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
135,8,4,4,,,,
 ,,,,,,,
nan,99,100,99,90,97,,
99,nan,99,100,90,97,,
100,99,nan,99,90,97,,
99,100,99,nan,90,97,,
90,90,90,90,nan,90,,95.6
136,2,4,2,,,,
 ,,,,,,,
nan,65,62,58,82,66.75,,
65,nan,83,87,83,79.5,,
62,83,nan,95,71,77.75,,
58,87,95,nan,75,78.75,,
82,83,71,75,nan,77.75,,76.1
128,3,7,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
125,7,3,2,,,,
 ,,,,,,,
nan,99,100,100,99,99.5,,
99,nan,99,99,100,99.25,,
100,99,nan,100,99,99.5,,
100,99,100,nan,99,99.5,,
99,100,99,99,nan,99.25,,99.4
136,3,4,4,,,,
 ,,,,,,,
nan,77,85,72,84,79.5,,
77,nan,92,54,92,78.75,,
85,92,nan,61,99,84.25,,
72,54,61,nan,62,62.25,,
84,92,99,62,nan,84.25,,77.8
135,3,6,3,,,,
 ,,,,,,,
nan,100,77,99,77,88.25,,
100,nan,77,99,77,88.25,,
77,77,nan,76,100,82.5,,
99,99,76,nan,76,87.5,,
77,77,100,76,nan,82.5,,85.8
137,7,3,2,,,,
 ,,,,,,,
nan,99,99,100,99,99.25,,
99,nan,100,99,100,99.5,,
99,100,nan,99,100,99.5,,
100,99,99,nan,99,99.25,,
99,100,100,99,nan,99.5,,99.4
134,3,3,4,,,,
 ,,,,,,,
nan,93,93,99,100,96.25,,
93,nan,100,92,93,94.5,,
93,100,nan,92,93,94.5,,
99,92,92,nan,99,95.5,,
100,93,93,99,nan,96.25,,95.4
128,8,7,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
136,4,4,3,,,,
 ,,,,,,,
nan,91,90,91,91,90.75,,
91,nan,99,100,99,97.25,,
90,99,nan,99,99,96.75,,
