131,2,7,2
 
127,8,6,4
 
nan,93.0,87.0,100.0,100.0,95.0
93.0,nan,81.0,93.0,93.0,90.0
87.0,81.0,nan,87.0,87.0,85.5
100.0,93.0,87.0,nan,100.0,95.0
100.0,93.0,87.0,100.0,nan,95.0
138,3,2,2
 
nan,83.0,100.0,100.0,91.0,93.5
83.0,nan,83.0,83.0,74.0,80.75
100.0,83.0,nan,100.0,91.0,93.5
100.0,83.0,100.0,nan,91.0,93.5
91.0,74.0,91.0,91.0,nan,86.75
134,5,2,2
 
nan,64.0,44.0,64.0,47.0,54.75
64.0,nan,68.0,100.0,46.0,69.5
44.0,68.0,nan,68.0,45.0,56.25
64.0,100.0,68.0,nan,46.0,69.5
47.0,46.0,45.0,46.0,nan,46.0
136,2,7,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
134,3,4,4
 
nan,79.0,80.0,45.0,52.0,64.0
79.0,nan,66.0,47.0,55.0,61.75
80.0,66.0,nan,49.0,50.0,61.25
45.0,47.0,49.0,nan,31.0,43.0
52.0,55.0,50.0,31.0,nan,47.0
137,5,3,2
 
nan,100.0,90.0,100.0,90.0,95.0
100.0,nan,90.0,100.0,90.0,95.0
90.0,90.0,nan,90.0,100.0,92.5
100.0,100.0,90.0,nan,90.0,95.0
90.0,90.0,100.0,90.0,nan,92.5
125,2,7,3
 
nan,53.0,49.0,98.0,59.0,64.75
53.0,nan,94.0,52.0,78.0,69.25
49.0,94.0,nan,47.0,73.0,65.75
98.0,52.0,47.0,nan,57.0,63.5
59.0,78.0,73.0,57.0,nan,66.75
130,4,4,2
 
nan,86.0,91.0,100.0,24.0,75.25
86.0,nan,94.0,86.0,33.0,74.75
91.0,94.0,nan,91.0,28.0,76.0
100.0,86.0,91.0,nan,24.0,75.25
24.0,33.0,28.0,24.0,nan,27.25
134,4,4,4
 
nan,30.0,63.0,65.0,40.0,49.5
30.0,nan,50.0,52.0,44.0,44.0
63.0,50.0,nan,96.0,53.0,65.5
65.0,52.0,96.0,nan,54.0,66.75
40.0,44.0,53.0,54.0,nan,47.75
130,3,4,4
 
nan,74.0,46.0,92.0,88.0,75.0
74.0,nan,44.0,79.0,82.0,69.75
46.0,44.0,nan,46.0,45.0,45.25
92.0,79.0,46.0,nan,93.0,77.5
88.0,82.0,45.0,93.0,nan,77.0
131,8,3,4
 
nan,72.0,69.0,66.0,71.0,69.5
72.0,nan,95.0,92.0,98.0,89.25
69.0,95.0,nan,96.0,93.0,88.25
66.0,92.0,96.0,nan,92.0,86.5
71.0,98.0,93.0,92.0,nan,88.5
139,8,8,4
 
nan,100.0,81.0,73.0,93.0,86.75
100.0,nan,81.0,73.0,93.0,86.75
81.0,81.0,nan,92.0,74.0,82.0
73.0,73.0,92.0,nan,77.0,78.75
93.0,93.0,74.0,77.0,nan,84.25
132,6,8,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
130,8,7,3
 
nan,80.0,86.0,100.0,85.0,87.75
80.0,nan,92.0,80.0,66.0,79.5
86.0,92.0,nan,86.0,72.0,84.0
100.0,80.0,86.0,nan,85.0,87.75
85.0,66.0,72.0,85.0,nan,77.0
128,7,7,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
134,6,3,2
 
nan,93.0,93.0,93.0,93.0,93.0
93.0,nan,100.0,100.0,100.0,98.25
93.0,100.0,nan,100.0,100.0,98.25
93.0,100.0,100.0,nan,100.0,98.25
93.0,100.0,100.0,100.0,nan,98.25
129,2,7,4
 
nan,95.0,64.0,82.0,66.0,76.75
95.0,nan,60.0,77.0,62.0,73.5
64.0,60.0,nan,52.0,97.0,68.25
82.0,77.0,52.0,nan,54.0,66.25
66.0,62.0,97.0,54.0,nan,69.75
128,7,7,4
 
nan,95.0,87.0,92.0,95.0,92.25
95.0,nan,92.0,87.0,100.0,93.5
87.0,92.0,nan,95.0,92.0,91.5
92.0,87.0,95.0,nan,87.0,90.25
95.0,100.0,92.0,87.0,nan,93.5
130,5,7,2
 
nan,100.0,100.0,100.0,100.0,100.0
100.0,nan,100.0,100.0,100.0,100.0
100.0,100.0,nan,100.0,100.0,100.0
100.0,100.0,100.0,nan,100.0,100.0
100.0,100.0,100.0,100.0,nan,100.0
129,2,2,2
 
nan,75.0,47.0,49.0,75.0,61.5
75.0,nan,65.0,59.0,100.0,74.75
47.0,65.0,nan,93.0,65.0,67.5
49.0,59.0,93.0,nan,59.0,65.0
75.0,100.0,65.0,59.0,nan,74.75
137,3,8,2
 
nan,93.0,100.0,100.0,100.0,98.25
93.0,nan,93.0,93.0,93.0,93.0
100.0,93.0,nan,100.0,100.0,98.25
100.0,93.0,100.0,nan,100.0,98.25
100.0,93.0,100.0,100.0,nan,98.25
