134,5,5,3,,,,,,
 ,,,,,,,,,
134,6,7,4,,,,,,
 ,,,,,,,,,
nan,65,44,91,44,61,,,,
65,nan,73,60,73,67.75,,,,
44,73,nan,49,100,66.5,,,,
91,60,49,nan,49,62.25,,,,
44,73,100,49,nan,66.5,64.375,,,
127,6,2,4,,,,,,
 ,,,,,,,,,
nan,96,100,96,85,94.25,,,,
96,nan,96,100,88,95,,,,
100,96,nan,96,85,94.25,,,,
96,100,96,nan,88,95,,,,
85,88,85,88,nan,86.5,94.625,,,
131,5,2,3,,,,,,
 ,,,,,,,,,
nan,86,86,87,87,86.5,,,,
86,nan,100,85,92,90.75,,,,
86,100,nan,85,92,90.75,,,,
87,85,85,nan,87,86,,,,
87,92,92,87,nan,89.5,88.5,,,
129,7,8,4,,,,,,
 ,,,,,,,,,
nan,70,83,86,62,75.25,,,,
70,nan,78,71,91,77.5,,,,
83,78,nan,89,77,81.75,,,,
86,71,89,nan,69,78.75,,,,
62,91,77,69,nan,74.75,78.3125,,,
140,2,3,2,,,,,,
 ,,,,,,,,,
nan,100,83,83,100,91.5,,,,
100,nan,83,83,100,91.5,,,,
83,83,nan,100,83,87.25,,,,
83,83,100,nan,83,87.25,,,,
100,100,83,83,nan,91.5,89.375,,,
127,7,5,4,,,,,,
 ,,,,,,,,,
nan,93,92,92,84,90.25,,,,
93,nan,86,86,82,86.75,,,,
92,86,nan,100,91,92.25,,,,
92,86,100,nan,91,92.25,,,,
84,82,91,91,nan,87,90.375,,,
137,2,4,3,,,,,,
 ,,,,,,,,,
nan,62,51,62,56,57.75,,,,
62,nan,64,41,81,62,,,,
51,64,nan,29,43,46.75,,,,
62,41,29,nan,56,47,,,,
56,81,43,56,nan,59,53.375,,,
136,3,3,3,,,,,,
 ,,,,,,,,,
nan,62,31,65,91,62.25,,,,
62,nan,18,43,60,45.75,,,,
31,18,nan,20,30,24.75,,,,
65,43,20,nan,70,49.5,,,,
91,60,30,70,nan,62.75,45.5625,,,
137,8,6,3,,,,,,
 ,,,,,,,,,
nan,100,79,96,79,88.5,,,,
100,nan,79,96,79,88.5,,,,
79,79,nan,75,99,83,,,,
96,96,75,nan,76,85.75,,,,
79,79,99,76,nan,83.25,86.4375,,,
129,3,3,3,,,,,,
 ,,,,,,,,,
nan,31,78,100,100,77.25,,,,
31,nan,32,31,31,31.25,,,,
78,32,nan,78,78,66.5,,,,
100,31,78,nan,100,77.25,,,,
100,31,78,100,nan,77.25,63.0625,,,
132,4,7,2,,,,,,
 ,,,,,,,,,
nan,20,91,18,74,50.75,,,,
20,nan,19,90,45,43.5,,,,
91,19,nan,17,67,48.5,,,,
18,90,17,nan,40,41.25,,,,
74,45,67,40,nan,56.5,46,,,
140,7,3,2,,,,,,
 ,,,,,,,,,
nan,100,100,100,46,86.5,,,,
100,nan,100,100,46,86.5,,,,
100,100,nan,100,46,86.5,,,,
100,100,100,nan,46,86.5,,,,
46,46,46,46,nan,46,86.5,,,
132,5,6,4,,,,,,
 ,,,,,,,,,
nan,83,46,86,81,74,,,,
83,nan,50,96,82,77.75,,,,
46,50,nan,53,47,49,,,,
86,96,53,nan,86,80.25,,,,
81,82,47,86,nan,74,70.25,,,
133,6,4,4,,,,,,
 ,,,,,,,,,
nan,97,91,97,95,95,,,,
97,nan,93,100,97,96.75,,,,
91,93,nan,93,96,93.25,,,,
97,100,93,nan,97,96.75,,,,
95,97,96,97,nan,96.25,95.4375,,,
135,4,4,2,,,,,,
 ,,,,,,,,,
nan,38,89,100,100,81.75,,,,
38,nan,46,38,38,40,,,,
89,46,nan,89,89,78.25,,,,
100,38,89,nan,100,81.75,,,,
100,38,89,100,nan,81.75,70.4375,,,
130,8,4,3,,,,,,
 ,,,,,,,,,
nan,93,93,100,52,84.5,,,,
93,nan,100,93,54,85,,,,
93,100,nan,93,54,85,,,,
100,93,93,nan,52,84.5,,,,
52,54,54,52,nan,53,84.75,,,
126,7,3,4,,,,,,
 ,,,,,,,,,
nan,85,59,98,39,70.25,,,,
85,nan,70,87,35,69.25,,,,
59,70,nan,61,42,58,,,,
98,87,61,nan,41,71.75,,,,
39,35,42,41,nan,39.25,67.3125,,,
140,8,8,2,,,,,,
 ,,,,,,,,,
nan,78,80,80,87,81.25,,,,
78,nan,97,97,89,90.25,,,,
80,97,nan,100,91,92,,,,
80,97,100,nan,91,92,,,,
87,89,91,91,nan,89.5,88.875,,,
130,8,5,2,,,,,,
 ,,,,,,,,,
nan,97,86,86,86,88.75,,,,
97,nan,83,83,83,86.5,,,,
86,83,nan,100,100,92.25,,,,
86,83,100,nan,100,92.25,,,,
86,83,100,100,nan,92.25,89.9375,,,
139,6,3,2,,,,,,
 ,,,,,,,,,
nan,100,34,28,28,47.5,,,,
100,nan,34,28,28,47.5,,,,
34,34,nan,79,79,56.5,,,,
28,28,79,nan,100,58.75,,,,
28,28,79,100,nan,58.75,52.5625,,,
127,6,4,2,,,,,,
 ,,,,,,,,,
nan,32,85,51,85,63.25,,,,
32,nan,25,61,25,35.75,,,,
85,25,nan,49,100,64.75,,,,
