130,7,8,4,,,
 ,,,,,,
nan,92,69,82,95,84.5,
92,nan,61,85,97,83.75,
69,61,nan,53,64,61.75,
82,85,53,nan,83,75.75,
95,97,64,83,nan,84.75,78.1
129,3,4,4,,,
 ,,,,,,
nan,88,93,96,100,94.25,
88,nan,80,84,88,85,
93,80,nan,96,93,90.5,
96,84,96,nan,96,93,
100,88,93,96,nan,94.25,91.4
138,5,5,2,,,
 ,,,,,,
nan,93,93,93,28,76.75,
93,nan,100,100,25,79.5,
93,100,nan,100,25,79.5,
93,100,100,nan,25,79.5,
28,25,25,25,nan,25.75,68.2
133,8,6,2,,,
 ,,,,,,
nan,80,90,90,80,85,
80,nan,72,89,100,85.25,
90,72,nan,81,72,78.75,
90,89,81,nan,89,87.25,
80,100,72,89,nan,85.25,84.3
130,5,3,3,,,
 ,,,,,,
nan,93,79,85,93,87.5,
93,nan,85,92,100,92.5,
79,85,nan,93,85,85.5,
85,92,93,nan,92,90.5,
93,100,85,92,nan,92.5,89.7
136,8,2,4,,,
 ,,,,,,
nan,51,67,75,64,64.25,
51,nan,59,49,57,54,
67,59,nan,63,92,70.25,
75,49,63,nan,61,62,
64,57,92,61,nan,68.5,63.8
125,3,7,2,,,
 ,,,,,,
nan,89,100,100,100,97.25,
89,nan,89,89,89,89,
100,89,nan,100,100,97.25,
100,89,100,nan,100,97.25,
100,89,100,100,nan,97.25,95.6
130,5,8,3,,,
 ,,,,,,
nan,78,58,85,83,76,
78,nan,76,75,64,73.25,
58,76,nan,58,48,60,
85,75,58,nan,85,75.75,
83,64,48,85,nan,70,71
139,3,3,4,,,
 ,,,,,,
nan,86,78,82,80,81.5,
86,nan,92,95,93,91.5,
78,92,nan,96,98,91,
82,95,96,nan,98,92.75,
80,93,98,98,nan,92.25,89.8
126,6,2,3,,,
 ,,,,,,
nan,50,54,65,92,65.25,
50,nan,84,86,55,68.75,
54,84,nan,71,59,67,
65,86,71,nan,72,73.5,
92,55,59,72,nan,69.5,68.8
139,8,5,3,,,
 ,,,,,,
nan,100,96,93,99,97,
100,nan,96,93,99,97,
96,96,nan,89,96,94.25,
93,93,89,nan,93,92,
99,99,96,93,nan,96.75,95.4
140,7,8,4,,,
 ,,,,,,
nan,71,86,71,98,81.5,
71,nan,60,100,71,75.5,
86,60,nan,60,86,73,
71,100,60,nan,71,75.5,
98,71,86,71,nan,81.5,77.4
137,5,6,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
129,2,2,2,,,
 ,,,,,,
nan,nan,nan,-2,nan,-2,
nan,nan,100,nan,100,100,
nan,100,nan,nan,100,100,
-2,nan,nan,nan,nan,-2,
nan,100,100,nan,nan,100,59.2
125,2,8,3,,,
 ,,,,,,
nan,41,69,75,70,63.75,
41,nan,58,48,53,50,
69,58,nan,69,75,67.75,
75,48,69,nan,88,70,
